Run,sample
SRR8284358,FLK-1
SRR8284392,FLK-10
SRR8284266,FLK-100
SRR8284267,FLK-101
SRR8284287,FLK-102
SRR8284284,FLK-103
SRR8284288,FLK-104
SRR8284290,FLK-105
SRR8284283,FLK-106
SRR8284285,FLK-107
SRR8284289,FLK-108
SRR8284310,FLK-109
SRR8284359,FLK-10b
SRR8284361,FLK-10c
SRR8284295,FLK-11
SRR8284281,FLK-110
SRR8284282,FLK-111
SRR8284308,FLK-112
SRR8284309,FLK-113
SRR8284313,FLK-114
SRR8284304,FLK-115
SRR8284312,FLK-116
SRR8284306,FLK-117
SRR8284307,FLK-118
SRR8284311,FLK-118b
SRR8284305,FLK-118c
SRR8284320,FLK-119
SRR8284355,FLK-12
SRR8284322,FLK-120
SRR8284323,FLK-121
SRR8284325,FLK-122
SRR8284324,FLK-123
SRR8284328,FLK-124
SRR8284348,FLK-125
SRR8284329,FLK-126
SRR8284327,FLK-127
SRR8284349,FLK-128
SRR8284319,FLK-129
SRR8284354,FLK-13
SRR8284326,FLK-130
SRR8284377,FLK-131
SRR8284351,FLK-132
SRR8284350,FLK-133
SRR8284344,FLK-134
SRR8284345,FLK-135
SRR8284343,FLK-136
SRR8284375,FLK-137
SRR8284342,FLK-138
SRR8284346,FLK-139
SRR8284356,FLK-14
SRR8284374,FLK-140
SRR8284376,FLK-141
SRR8284347,FLK-142
SRR8284412,FLK-143
SRR8284380,FLK-144
SRR8284381,FLK-145
SRR8284379,FLK-146
SRR8284378,FLK-147
SRR8284415,FLK-148
SRR8284410,FLK-149
SRR8284357,FLK-15
SRR8284414,FLK-150
SRR8284369,FLK-151
SRR8284368,FLK-152
SRR8284413,FLK-152b
SRR8284411,FLK-152c
SRR8284232,FLK-153
SRR8284409,FLK-154
SRR8284408,FLK-155
SRR8284419,FLK-156
SRR8284420,FLK-158
SRR8284237,FLK-159
SRR8284296,FLK-16
SRR8284234,FLK-160
SRR8284238,FLK-161
SRR8284236,FLK-162
SRR8284233,FLK-163
SRR8284231,FLK-164
SRR8284235,FLK-165
SRR8284256,FLK-166
SRR8284239,FLK-167
SRR8284240,FLK-168
SRR8284250,FLK-169
SRR8284293,FLK-17
SRR8284251,FLK-170
SRR8284255,FLK-171
SRR8284242,FLK-172
SRR8284254,FLK-173
SRR8284252,FLK-174
SRR8284243,FLK-175
SRR8284257,FLK-176
SRR8284253,FLK-177
SRR8284278,FLK-178
SRR8284275,FLK-179
SRR8284353,FLK-18
SRR8284276,FLK-180
SRR8284274,FLK-181
SRR8284273,FLK-182
SRR8284269,FLK-183
SRR8284315,FLK-184
SRR8284270,FLK-185
SRR8284272,FLK-186
SRR8284314,FLK-187
SRR8284277,FLK-188
SRR8284271,FLK-189
SRR8284280,FLK-190
SRR8284366,FLK-191
SRR8284372,FLK-192
SRR8284365,FLK-193
SRR8284364,FLK-194
SRR8284421,FLK-195
SRR8284387,FLK-196
SRR8284384,FLK-197
SRR8284291,FLK-198
SRR8284386,FLK-199
SRR8284388,FLK-2
SRR8284241,FLK-200
SRR8284279,FLK-200b
SRR8284300,FLK-21
SRR8284294,FLK-22
SRR8284352,FLK-23
SRR8284330,FLK-24
SRR8284298,FLK-25
SRR8284299,FLK-26
SRR8284297,FLK-27
SRR8284302,FLK-28
SRR8284292,FLK-29
SRR8284389,FLK-3
SRR8284321,FLK-30
SRR8284333,FLK-31
SRR8284301,FLK-32
SRR8284268,FLK-35
SRR8284331,FLK-37
SRR8284363,FLK-38
SRR8284391,FLK-4
SRR8284317,FLK-40
SRR8284316,FLK-41
SRR8284338,FLK-42
SRR8284340,FLK-43
SRR8284248,FLK-44
SRR8284245,FLK-45
SRR8284249,FLK-46
SRR8284247,FLK-47
SRR8284244,FLK-48
SRR8284362,FLK-49
SRR8284390,FLK-5
SRR8284246,FLK-50
SRR8284229,FLK-51
SRR8284401,FLK-52
SRR8284406,FLK-53
SRR8284223,FLK-54
SRR8284224,FLK-55
SRR8284228,FLK-56
SRR8284221,FLK-57
SRR8284227,FLK-58
SRR8284225,FLK-59
SRR8284382,FLK-6
SRR8284226,FLK-60
SRR8284230,FLK-60b
SRR8284222,FLK-60c
SRR8284396,FLK-61
SRR8284403,FLK-62
SRR8284404,FLK-63
SRR8284402,FLK-64
SRR8284303,FLK-65
SRR8284397,FLK-66
SRR8284336,FLK-67
SRR8284398,FLK-68
SRR8284400,FLK-69
SRR8284360,FLK-7
SRR8284337,FLK-70
SRR8284395,FLK-71
SRR8284399,FLK-72
SRR8284367,FLK-73
SRR8284335,FLK-74
SRR8284334,FLK-75
SRR8284318,FLK-76
SRR8284332,FLK-77
SRR8284418,FLK-78
SRR8284407,FLK-79
SRR8284383,FLK-8
SRR8284417,FLK-80
SRR8284339,FLK-81
SRR8284405,FLK-82
SRR8284394,FLK-83
SRR8284341,FLK-84
SRR8284260,FLK-85
SRR8284370,FLK-86
SRR8284371,FLK-87
SRR8284373,FLK-88
SRR8284416,FLK-89
SRR8284393,FLK-9
SRR8284259,FLK-90
SRR8284262,FLK-91
SRR8284258,FLK-92
SRR8284422,FLK-93
SRR8284263,FLK-94
SRR8284261,FLK-95
SRR8284385,FLK-96
SRR8284286,FLK-97
SRR8284265,FLK-98
SRR8284264,FLK-99
